,Word,Occurance
0,be,6493
1,sure,301
2,to,18415
3,tune,113
4,in,11086
5,and,14324
6,watch,685
7,donald,1813
8,trump,5061
9,on,7562
10,late,106
11,night,640
12,with,4796
13,david,120
14,letterman,84
15,as,2270
16,he,3517
17,presents,12
18,the,31998
19,top,294
20,ten,29
21,list,87
22,tonight,729
23,will,6133
24,appearing,14
25,view,80
26,tomorrow,438
27,morning,346
28,discuss,60
29,celebrity,284
30,apprentice,493
31,his,1959
32,new,1823
33,book,385
34,think,998
35,like,1629
36,a,13871
37,champion,172
38,reads,8
39,financial,76
40,tips,11
41,show,818
42,httptinyurlcomooafwn,1
43,,67870
44,very,2284
45,funny,73
46,blog,19
47,post,186
48,finale,29
49,lessons,19
50,learned,38
51,along,145
52,way,800
53,httptinyurlcomqlux5e,1
54,my,3589
55,persona,7
56,never,1368
57,that,5411
58,of,12348
59,wallflower,1
60,i’d,12
61,rather,106
62,build,189
63,walls,23
64,than,1280
65,cling,1
66,them,971
67,j,140
68,miss,265
69,usa,455
70,tara,1
71,conner,2
72,not,3180
73,fired,194
74,ive,159
75,always,625
76,been,1270
77,believer,9
78,second,165
79,chances,13
80,says,244
81,listen,106
82,an,1505
83,interview,614
84,discussing,266
85,httptinyurlcomqs24vl,1
86,strive,7
87,for,9329
88,wholeness,2
89,keep,602
90,your,2551
91,sense,107
92,wonder,133
93,intact,12
94,httptinyurlcompqpfvm,14
95,enter,41
96,signed,103
97,keychain,3
98,contest,20
99,httpwwwtrumpthinklikeachampioncomcontest,3
100,when,1297
101,achiever,1
102,achieves,1
103,its,1000
104,plateau,13
105,it’s,317
106,beginning,118
107,don’t,523
108,afraid,79
109,being,937
110,unique,13
111,best,1075
112,self,37
113,we,4345
114,win,816
115,our,4108
116,lives,144
117,by,2829
118,having,250
119,champions,22
120,each,110
121,moment,39
122,these,411
123,dayswe,1
124,could,520
125,all,2982
126,use,259
127,little,224
128,power,171
129,trumpative,1
130,thinking,141
131,–barnesandnoblecom,1
132,know,852
133,you,9272
134,precipice,2
135,something,262
136,great,6100
137,read,345
138,appeared,5
139,york,375
140,times,296
141,magazine,92
142,httptinyurlcomqsx4o6,1
143,it,5326
144,fast,258
145,short,80
146,direct,21
147,whatever,67
148,is,12056
149,dont,908
150,forget,125
151,did,758
152,facebook,57
153,httpwwwfacebookcomdonaldtrump,4
154,become,221
155,fan,130
156,today,1070
157,higher,105
158,opposition,28
159,comfort,8
160,zone,16
161,excerpt,3
162,from,2090
163,httpbitly11fhpr,1
164,have,4292
165,call,333
166,quits,6
167,moving,76
168,forward,527
169,httpwwwtrumpthinklikeachampioncom,1
170,check,148
171,out,1754
172,trumps,140
173,igoogle,1
174,showcase,5
175,page,84
176,httpbitlyddd2a,1
177,if,1841
178,problems,159
179,youre,405
180,pretending,13
181,or,1374
182,run,1144
183,own,285
184,business,528
185,–donald,3
186,last,871
187,week,278
188,birthday,203
189,send,108
190,him,977
191,bday,9
192,wishes,60
193,here,348
194,thanks,2123
195,thoughtful,1
196,–,552
197,re,112
198,fb,1
199,vanity,17
200,urls,1
201,sf,2
202,chronicle,2
203,beckham,1
204,was,3190
205,one,1505
206,first,731
207,britney,1
208,spears,1
209,httptinyurlcomln4lol,1
210,wishing,31
211,happy,491
212,fathers,17
213,day,756
214,dads,4
215,there,1217
216,are,5232
217,everyday,26
218,httptinyurlcomkn95ju,1
219,expand,19
220,life,302
221,every,432
222,trump’s,68
223,commercialfree,1
224,wwe,57
225,raw,5
226,does,448
227,big,1548
228,rating,81
229,httptinyurlcomnxvquo,1
230,michael,111
231,jackson,22
232,friend,202
233,spectacular,74
234,entertainer,4
235,devastating,19
236,loss,53
237,powerful,82
238,frank,19
239,about,1770
240,economy,445
241,greta,125
242,van,27
243,susterens,3
244,record,479
245,httptinyurlcommmjked,1
246,heres,23
247,safe,164
248,independence,22
249,enjoy,355
250,aware,17
251,things,462
252,seem,57
253,inexplicable,1
254,because,766
255,they,3192
256,can,1535
257,step,63
258,towards,22
259,innovation,21
260,backs,14
261,randal,1
262,pinkett,1
263,nj,33
264,lieutenant,2
265,governor,256
266,httptinyurlcommvovzb,1
267,congrats,160
268,winners,51
269,around,230
270,world,746
271,who,2025
272,entered,9
273,bookkeychain,1
274,books,73
275,summer,21
276,reading,100
277,at,3992
278,university,81
279,httptinyurlcomknyswt,1
280,browse,1
281,success,401
282,httptinyurlcomn5468r,1
283,that’s,142
284,utilize,2
285,develop,20
286,capability,7
287,ivanka,61
288,now,1886
289,twitter,163
290,follow,126
291,her,733
292,ivankatrump,195
293,terrific,106
294,weekend,128
295,recent,59
296,appearance,36
297,httptinyurlcomklts6b,1
298,universe,85
299,competition,42
300,live,331
301,bahamas,13
302,sunday,151
303,823,2
304,9pm,39
305,et,76
306,nbc,314
307,httptinyurlcommrzad9,2
308,reminder,5
309,est,62
310,bids,2
311,buy,153
312,oreo,2
313,double,51
314,stuf,1
315,racing,2
316,league,46
317,httpwwwnabiscoworldcomoreodsrlhomeaspx,1
318,more,1698
319,hysterical,1
320,dsrl,1
321,videos,11
