Word,Occurance
a,13871
a11seeingeye,1
a123meoli,1
a123r7o,1
a1a,1
a380jet,1
aa94javy,1
aaa,12
aaafivediamond,2
aaanews,3
aaapgs,1
aaasquibby,1
aaceallaigh,1
aacrowellt,4
aahs5star,1
aak1993,1
aakash4cesc,1
aalucero,1
aand,1
aanders07,1
aandreakis,1
aanewey,1
aap,8
aaron,3
aaronathman,1
aaronmcallorum,2
aaronphaq,1
aaronrupe33,1
aaronschock,1
aaronsmithcnn,1
aaronyay,1
aaron’s,1
aarranmcpherson,1
aaszkler,2
aatl5112012,1
aatrevino,1
aawsateng,1
ab,1
ab1132,1
ab8tn,1
abaker20,1
abaldwin31,1
abandon,10
abandoned,23
abangmercy,1
abanoubabdel,1
abbas,1
abbaspictwittercomuzp0ivvrp0,1
abbeyashir,1
abbeylynnmangus,1
abbott,2
abbottabad,1
abbydnyc,2
abbysullz,1
abc,103
abc2020,8
abc2020pictwittercomexf5auhrew,1
abc2020pictwittercomvmels00gnj,1
abc7news,1
abc7rebecca,1
abccbs,1
abcdonaldtrump,1
abcfamily,2
abchttpstwittercommatthewjdowdstatus1194733225249083392,1
abcinsc,2
abcnetwork,1
abcnews,3
abcpolitics,7
abcpoliticspictwittercom8j9ixcsnzc,1
abcs,1
abcsharktank,2
abcutrock,1
abcwashington,5
abcworldnews,2
abd,1
abdeslam,1
abducted,1
abdul,1
abdulakbarzai1,1
abdullah,2
abdulmalikm103,1
abe,27
abedin,5
abedini,3
abedinihttpbitly18jfbar,1
abedinihttpbitlyjfnnlz,1
abedini’s,2
abegarver,1
abeil,2
abel,1
abelerner,1
abepictwittercom538eyyfwdq,1
abepictwittercom6lragojvdb,1
aberdeedshire,1
aberdeen,55
aberdeencc,11
aberdeenccpictwittercomypnn1ysset,1
aberdeenshire,21
aberdeenshirecc,2
aberdeenshires,1
aberdeen—sales,1
aberdonian,1
abeshinzo,14
abeshinzopictwittercomnwwxjl6kxh,1
abeshinzopictwittercomqxmpcgrycf,1
abeshinzopictwittercomuwejqnbexe,1
abethbyr,1
abfalecbaldwin,4
abhishekktm,1
abhor,1
abide,1
ability,34
abilityzilch,1
abimlebt,1
abingdon,1
abird95,1
abishurprakash,1
abject,1
able,145
ablebodied,1
ablepictwittercommctybguepi,1
abnormally,1
aboard,10
abolish,11
abolished,1
abolishing,1
abortion,8
aboubacarmande,1
abound,1
about,1770
abouti,1
aboutlife,3
aboutthe,1
abouttherock,3
above,32
abraham,17
abrahaml1nx,1
abrams,2
abramson,2
abridged,1
abroad,8
abrupt,2
abruptly,3
absabella,1
absence,1
absentee,3
absolute,39
absoluteicon,1
absolutely,148
absolutley,1
absorb,2
absorbed,1
abspara,2
absurd,3
abt,6
abtheproducer,1
abu,5
abundance,1
abundant,1
abunnieslife,2
abuon,1
abuse,42
abused,10
abuser,2
abusers,2
abuses,6
abusing,3
abusive,4
abuts,1
abuzz,1
abysmal,3
abysmalno,1
abysmalwe,1
ac,13
ac360,17
academic,2
academics,2
academy,16
acandle,1
acarra3,1
accelerate,1
accelerated,1
acceleratedhttpswwwwashingtonpostcomworldnationalsecurityundertrumpgainsagainstisishavedramaticallyaccelerated201708048ad29d40795811e78f39eeb7d3a2d304storyhtmlutmterm36a5f1e5d94f,1
accentuate,1
accept,34
acceptable,15
acceptablepictwittercompqgettdrtx,1
acceptance,6
accepted,19
accepting,6
accepts,3
access,38
accesshollywood,4
accessible,2
accessories,1
accessory,1
accident,13
accidental,1
accidentalboss,1
accidentally,2
accidents,2
acclaim,2
acclaimed,4
accolade,1
accolades,6
accommodating,1
accommodation,1
accommodations,5
accompanied,1
accomplish,23
accomplished,42
accomplishedhttpbitlyh0ss1r,1
accomplishes,1
accomplishing,5
accomplishment,9
accomplishments,24
accord,7
accordance,1
according,57
accordingly,4
account,37
accountability,13
accountable,13
accounted,1
accounting,2
accountlawyer,1
accounts,11
accountshttpmwashingtontimescomnews2016apr26obamaadministrationfailstoscreensyrianrefuge,1
accountsrs,1
accredited,1
accronin8,2
accrued,2
accruing,2
acct,2
accumulate,2
accumulated,7
accumulating,1
accumulation,2
accuracy,5
accurate,21
accuratehe,1
accuratehttphispoliticacom20150630donaldtrumpscontroversialmexicancommentsareaccurate,1
accurately,13
accurate—if,1
accusation,2
accusations,7
accuse,1
accused,13
accuser,7
accusers,1
accuses,2
accusing,4
acdinner15,1
ace,1
acebuey,1
aceman65,1
aceofspadeshq,1
acestef,1
acewill,1
acfyfe,1
aches,1
acheson,1
achieve,25
achieved,11
achievednot,1
achievement,31
achievementhttpswwwpscptvwcjmvdjezntg4mzh8mwpnsmd3wvzyqk1ktlwj8vs2nd6eeeqma8no6jhz8ici3bmmg1wck26qcnt5s,1
achievements,12
achievementthe,1
achiever,1
achieverdan,2
achievers,26
achieves,1
achieving,7
achilarre,1
achockeyhistory,1
acid,9
acidwash,1
acin,1
acing,1
acknowledge,11
acknowledged,3
acknowledgeddone,1
acknowledgement,1
acknowledgepictwittercomfcvutwa33j,1
acknowledging,8
acliffe,1
aclj,1
aclrecoveryclub,1
aclutter51,1
acman84,1
acmarcuswenzel,1
acmeansbusiness,1
acn,3
acnnews,2
acnyc140,1
acosta,3
acquire,6
acquiring,4
acquisition,11
acquitted,1
acre,3
acres,25
acrobaticshttpbitly15wvrne,1
across,91
act,154
acted,16
acthttp45whgovpdwcqa,1
acthttpstwittercomwhitehousestatus1193971530297946113,1
acthttpwwwnewsmaxcompoliticsmidtermssenateobamaobamacare20141103id604867,1
acti,1
acting,52
actingmeek,1
action,129
actionhttpbitlykusuea,1
actionhttpstwittercomkimstrasselstatus1101576439416193025,1
actionit,1
actionpictwittercom08xkebd8be,1
actionpictwittercomvdtiyl0ua7,1
actions,35
activation,1
active,9
actively,3
activism,2
activist,4
activists,4
activities,10
activity,9
actoninstitute,1
actor,9
actori,1
actors,3
actpictwittercomslvhlxp3jl,1
actress,3
actresses,1
acts,19
actsbetter,1
actual,18
actuality,3
actually,204
actuallydominic,2
act’,1
acu,4
acuconservative,4
acuconservatives,2
acumen,2
ad,73
adairariel,1
adam,91
adam4integrity,1
adamangus15,2
adamblicksteini,1
adambrownagency,1
adamcarolla,2
adamcarollas,1
adamedinburg,1
adamgenato,1
adamhasasneh,1
adamhes,1
adamjackson73,1
adamjannke,1
adamkellydeals,1
adammatruski,1
adammke,1
adamodell,1
adamricheal,1
adamrifkin’s,1
adams,5
adamscott,3
adamscottnow,1
adamsmithusa,1
adamsteinbaugh,2
adamwebbuk,1
adamwebz,1
adapt,3
adaptable,1
adb1707,1
add,39
added,34
addeddoes,1
addictd2success,1
addicted,6
addicting,2
addiction,4
addictive,1
adding,13
addition,39
additional,38
additionally,13
additionno,1
address,67
addressed,6
addresses,5
addressing,11
addresspictwittercom1sh20hb33x,1
addresspictwittercommsala9poat,1
addresspictwittercomp1f12i9gvt,1
adds,7
adeeasthope,1
adeezy101,2
adelbmoufarrej,1
adelebrumley,2
adelehappy,1
adelson,2
adenunzio,1
adept,4
adetonaoris,1
adhdfakudos,1
adhietak85,1
adhowe5,1
adhttpsamptwimgcomv00d3ec5a8ed24ad1b5bbdf95de668bae,1
adhttpsyoutubebogd9mvzii4,1
adidas,1
adidasfevernova,1
adios,1
adiosamerica,1
adiosamericabe,1
adiosliberty,1
adiscurtu,1
adityataday,1
adjacent,2
adjourns,1
adjudicate,1
adjunct,1
adjust,2
adjusted,2
adjusting,2
adjustment,1
adkins,1
adkradio,2
adl,1
adm,1
admin,12
administered,1
administration,273
administrationa,1
