date,retweets,likes
2009-05-04,500,868
2009-05-05,33,273
2009-05-08,23,42
2009-05-12,1426,1991
2009-05-13,14,16
2009-05-14,18,25
2009-05-15,14,8
2009-05-17,58,115
2009-05-18,64,102
2009-05-19,18,17
2009-05-20,29,53
2009-05-21,8,10
2009-05-22,64,74
2009-05-23,54,77
2009-05-26,42,73
2009-05-27,4,12
2009-05-28,61,57
2009-06-03,14,20
2009-06-05,12,31
2009-06-08,9,3
2009-06-14,17,16
2009-06-16,36,36
2009-06-18,18,17
2009-06-21,62,122
2009-06-23,13,10
2009-06-25,27,15
2009-06-26,86,221
2009-06-30,4,7
2009-07-05,25,30
2009-07-13,14,27
2009-07-15,6,6
2009-07-22,9,10
2009-07-28,30,26
2009-08-04,32,18
2009-08-11,27,26
2009-08-14,34,35
2009-08-20,4,8
2009-08-21,15,6
2009-08-23,10,12
2009-08-29,264,373
2009-09-01,56,58
2009-09-14,29,36
2009-09-29,58,80
2009-10-05,8,8
2009-10-14,11,10
2009-10-22,6,5
2009-10-27,8,11
2009-11-02,12,10
2009-11-16,16,5
2009-11-26,221,573
2009-12-03,40,8
2009-12-23,226,233
2010-01-12,29,9
2010-01-15,262,305
2010-01-21,8957,8117
2010-01-22,18,3
2010-02-07,31,21
2010-02-10,12,5
2010-02-11,19,4
2010-02-26,28,23
2010-03-05,11,10
2010-03-12,25,9
2010-03-15,27,7
2010-03-17,17,8
2010-03-18,47,15
2010-03-19,14,3
2010-03-23,19,11
2010-03-24,49,17
2010-03-29,32,34
2010-03-31,23,7
2010-04-01,11,5
2010-04-06,43,26
2010-04-07,15,4
2010-04-09,14,9
2010-04-12,17,7
2010-04-13,94,46
2010-04-14,34,19
2010-04-16,17,9
2010-04-20,133,133
2010-04-21,3321,5260
2010-04-22,24,7
2010-04-23,29,4
2010-04-26,68,16
2010-04-28,16,11
2010-04-29,31,16
2010-04-30,20,8
2010-05-03,36,28
2010-05-05,43,11
2010-05-13,22,7
2010-05-17,105,167
2010-05-19,22,6
2010-05-20,57,49
2010-05-21,18,21
2010-05-24,57,20
2010-05-25,30,18
2010-05-26,41,19
2010-05-27,672,1707
2010-05-28,52,32
2010-06-02,29,10
2010-06-04,34,9
2010-06-06,33,7
2010-06-08,15,11
2010-06-09,20,9
2010-06-10,12,5
2010-06-15,33,12
2010-06-17,56,26
2010-06-21,37,8
2010-06-22,23,8
2010-06-24,52,37
2010-06-28,26,10
2010-07-01,23,9
2010-07-02,75,36
2010-07-06,46,6
2010-07-14,92,54
2010-07-19,34,10
2010-07-20,77,15
2010-07-29,88,40
2010-07-30,28,6
2010-08-04,74,14
2010-08-09,43,7
2010-08-12,221,143
2010-08-19,113,19
2010-08-23,53,5
2010-08-24,204,86
2010-08-26,44,13
2010-08-30,22,12
2010-08-31,113,113
2010-09-01,49,7
2010-09-02,55,22
2010-09-07,43,22
2010-09-09,37,12
2010-09-14,54,17
2010-09-15,21,10
2010-09-16,64,12
2010-09-17,35,21
2010-09-23,47,9
2010-09-24,40,15
2010-09-30,113,161
2010-10-01,18,11
2010-10-06,42,10
2010-10-07,58,16
2010-10-14,86,33
2010-10-21,36,5
2010-10-27,43,7
2010-10-28,39,6
2010-11-03,38,7
2010-11-04,39,16
2010-11-11,29,5
2010-11-15,39,18
2010-11-18,59,19
2010-11-22,29,15
2010-11-24,279,423
2010-11-29,34,8
2010-12-02,33,8
2010-12-09,59,11
2010-12-10,49,16
2010-12-13,67,36
2010-12-14,247,39
2010-12-16,112,22
2010-12-23,8121,7614
2010-12-30,211,189
2011-01-12,122,55
2011-01-13,185,39
2011-01-21,100,26
2011-01-27,192,101
2011-01-31,63,23
2011-02-07,70,31
2011-02-10,110,309
2011-02-11,106,50
2011-02-15,513,416
2011-02-16,290,483
2011-02-17,92,34
2011-02-18,77,27
2011-02-22,67,34
2011-02-23,58,21
2011-02-28,221,81
2011-03-02,119,48
2011-03-03,69,22
2011-03-04,41,12
2011-03-07,150,44
2011-03-08,46,20
2011-03-10,112,52
2011-03-11,37,11
2011-03-14,67,30
2011-03-15,400,141
2011-03-16,170,84
2011-03-17,88,31
2011-03-18,144,38
2011-03-21,388,226
2011-03-22,137,59
2011-03-23,63,27
2011-03-28,73,31
2011-03-30,140,35
2011-03-31,109,38
2011-04-01,78,12
2011-04-05,97,36
2011-04-07,189,66
2011-04-08,43,5
2011-04-11,31,7
2011-04-12,46,19
2011-04-13,145,25
2011-04-14,93,18
