date,number of tweets,retweets,likes
2009-05,21.0,2430,3813
2009-06,31.0,298,498
2009-07,35.0,84,99
2009-08,41.0,386,478
2009-09,43.0,143,174
2009-10,46.0,33,34
2009-11,48.0,249,588
2009-12,49.0,266,241
2010-01,52.0,9266,8434
2010-02,55.0,90,53
2010-03,64.0,264,121
2010-04,81.0,3887,5580
2010-05,97.0,1155,2085
2010-06,113.0,370,152
2010-07,125.0,463,176
2010-08,141.0,887,412
2010-09,153.0,558,308
2010-10,161.0,322,88
2010-11,171.0,546,511
2010-12,180.0,8899,7935
2011-01,188.0,662,244
2011-02,203.0,1604,1486
2011-03,238.0,2353,949
2011-04,264.0,1381,411
2011-05,282.0,2446,1381
2011-06,297.0,877,257
2011-07,372.0,21544,21205
2011-08,471.0,37281,24044
2011-09,581.0,21583,10352
2011-10,693.0,26379,14511
2011-11,816.0,60932,35997
2011-12,1038.0,63888,59336
2012-01,1219.0,71840,54244
2012-02,1475.0,28907,12958
2012-03,1680.0,43596,37713
2012-04,1882.0,30533,16070
2012-05,2156.0,45952,22286
2012-06,2382.0,46143,20296
2012-07,2653.0,99643,64886
2012-08,3027.0,126752,76507
2012-09,3441.0,157409,88942
2012-10,4206.0,733976,648801
2012-11,4765.0,694708,469941
2012-12,5216.0,99838,74582
2013-01,6032.0,196911,154318
2013-02,6952.0,179774,161284
2013-03,7800.0,171242,164120
2013-04,8715.0,213922,227802
2013-05,9503.0,307252,320255
2013-06,9971.0,201348,191745
2013-07,10688.0,116256,100177
2013-08,11418.0,431478,349048
2013-09,12093.0,362772,347907
2013-10,12657.0,184214,143986
2013-11,13035.0,202648,195359
2013-12,13411.0,147514,136671
2014-01,13774.0,118086,97552
2014-02,14078.0,42758,50333
2014-03,14477.0,225167,261038
2014-04,15003.0,55030,62467
2014-05,15390.0,163012,173913
2014-06,16151.0,367072,385284
2014-07,16631.0,100252,121203
2014-08,16971.0,153248,149034
2014-09,17477.0,200550,225170
2014-10,18095.0,217785,246561
2014-11,18679.0,100656,127687
2014-12,19386.0,64444,95558
2015-01,20542.0,85665,114867
2015-02,21048.0,125629,137395
2015-03,21457.0,29567,40136
2015-04,22271.0,97617,132944
2015-05,22983.0,103048,133822
2015-06,23514.0,102490,178796
2015-07,24309.0,423901,799040
2015-08,24670.0,459364,877697
2015-09,25091.0,609094,1087767
2015-10,25881.0,782291,1603045
2015-11,26477.0,750490,1655073
2015-12,27093.0,1000888,2441960
2016-01,27573.0,884103,2431582
2016-02,28043.0,1311732,3515352
2016-03,28460.0,1943352,5608250
2016-04,28733.0,1126360,3254424
2016-05,29072.0,1570995,4576271
2016-06,29364.0,1799724,5010794
2016-07,29717.0,2974188,8986200
2016-08,29984.0,2039440,5851707
2016-09,30254.0,2176221,6086553
2016-10,30724.0,4853499,11234094
2016-11,30902.0,3479501,11415714
2016-12,31032.0,2005989,7913125
2017-01,31233.0,3694155,17450563
2017-02,31378.0,3002620,14928960
2017-03,31508.0,2042019,9577531
2017-04,31644.0,1695203,8022088
2017-05,31778.0,1922560,8315554
2017-06,31949.0,3113705,13200423
2017-07,32174.0,4127751,17548076
2017-08,32365.0,3151548,14502056
2017-09,32599.0,3640008,16615212
2017-10,32854.0,3718969,17304246
2017-11,33084.0,3818428,16786881
2017-12,33252.0,3228496,14393889
2018-01,33433.0,3928834,17742709
2018-02,33595.0,3240149,14697812
2018-03,33752.0,2826561,12702399
2018-04,33961.0,3912204,17582193
2018-05,34199.0,4385132,19634447
2018-06,34517.0,5639925,25278635
2018-07,34781.0,4974319,21915709
2018-08,35112.0,6018056,25833931
2018-09,35393.0,4744489,20368469
2018-10,35712.0,5612640,23442429
2018-11,35970.0,4982054,21246898
2018-12,36238.0,5540712,25434668
2019-01,36522.0,7137064,32632381
2019-02,36709.0,4556687,21215926
2019-03,36988.0,5899076,26564927
2019-04,37298.0,6519566,28757161
2019-05,37678.0,6987635,31114053
2019-06,38008.0,6121123,28365347
2019-07,38477.0,9304054,43097599
2019-08,38899.0,7321876,33190585
2019-09,39373.0,7595919,32579849
2019-10,39966.0,11079653,44545256
2019-11,40376.0,7331334,30083769
2019-12,40814.0,8595512,35976944
2020-01,,5225401,25346571
