Word,Occurance
the,31998
to,18415
and,14324
a,13871
of,12348
is,12056
in,11086
for,9329
you,9272
i,8794
realdonaldtrump,8578
on,7562
be,6493
will,6133
great,6100
that,5411
it,5326
are,5232
trump,5061
with,4796
we,4345
have,4292
our,4108
at,3992
my,3589
this,3518
he,3517
they,3192
was,3190
not,3180
all,2982
has,2861
by,2829
president,2763
thank,2756
so,2641
your,2551
just,2522
people,2444
very,2284
as,2270
no,2171
do,2162
thanks,2123
us,2117
from,2090
who,2025
but,2011
me,1989
his,1959
what,1913
would,1890
now,1886
if,1841
get,1835
new,1823
donald,1813
about,1770
country,1764
out,1754
more,1698
like,1629
america,1620
good,1572
should,1571
time,1552
big,1548
can,1535
an,1505
one,1505
make,1485
up,1459
obama,1444
or,1374
never,1368
many,1332
when,1297
their,1291
than,1280
been,1270
there,1217
only,1177
going,1162
much,1152
am,1147
run,1144
back,1127
vote,1112
how,1095
news,1083
best,1075
today,1070
why,1058
again,1049
want,1039
love,1023
see,1017
need,1001
its,1000
over,999
think,998
him,977
them,971
must,948
democrats,940
being,937
job,930
really,925
even,915
go,914
were,910
dont,908
years,906
doing,881
had,878
last,871
true,855
know,852
via,850
china,846
bad,831
hillary,823
show,818
win,816
deal,812
way,800
she,799
american,795
work,794
because,766
ever,760
did,758
trump2016,757
day,756
done,756
fake,746
world,746
border,744
said,744
her,733
first,731
tonight,729
other,720
media,710
right,709
jobs,705
better,702
into,700
made,687
nothing,687
which,687
watch,685
foxnews,684
after,676
mr,645
night,640
look,634
barackobama,632
most,630
well,626
always,625
got,621
house,621
cant,618
united,616
interview,614
states,614
foxandfriends,606
keep,602
money,599
down,595
amazing,589
looking,582
take,579
please,577
year,576
hard,570
real,567
man,563
election,556
im,554
–,552
state,550
cont,550
say,542
nice,541
national,534
against,531
any,531
business,528
forward,527
total,525
don’t,523
could,520
also,519
another,516
golf,514
cnn,512
clinton,507
some,505
republican,503
too,503
before,494
apprentice,493
hope,492
happy,491
give,486
campaign,486
next,483
obamacare,482
strong,480
record,479
makeamericagreatagain,479
two,478
stop,477
where,476
congratulations,476
military,472
republicans,469
long,463
things,462
trade,462
far,457
usa,455
needs,453
come,453
believe,449
does,448
economy,445
wall,444
getting,444
poll,444
tomorrow,438
celebapprentice,436
course,432
every,432
then,431
soon,428
support,426
working,421
history,420
everyone,420
apprenticenbc,417
party,415
totally,411
these,411
tax,406
help,405
youre,405
success,401
crooked,399
dems,394
security,394
wonderful,393
debate,386
wow,386
book,385
beautiful,383
making,378
crime,377
such,377
york,375
while,374
pm,371
honor,370
smart,367
let,365
fantastic,363
off,363
north,362
gop,360
others,357
wrong,357
enjoy,355
white,354
russia,353
office,352
coming,352
guy,351
u,349
here,348
place,347
agree,347
thing,346
iran,346
morning,346
put,346
read,345
remember,344
congress,339
those,337
call,333
watching,332
live,331
under,330
story,329
speech,328
together,327
bill,324
americans,323
illegal,323
high,322
ratings,322
washington,322
witch,320
mexico,319
wait,318
it’s,317
tough,315
terrible,314
nbc,314
wants,313
dollars,313
yesterday,312
hunt,309
numbers,309
immigration,307
running,307
meeting,307
john,307
still,306
change,306
both,305
leader,304
since,303
mittromney,303
person,303
life,302
sure,301
end,299
left,299
florida,299
presidential,299
join,297
times,296
doesnt,296
same,296
talk,295
government,295
top,294
report,294
start,293
democrat,286
fact,285
