Word,Occurance,Type-of-word
realdonaldtrump,8578,ASD
great,6100,JJ
trump,5061,JJ
president,2763,NN
thank,2756,NNS
people,2444,NNS
do,2162,NN
thanks,2123,NNS
new,1823,JJ
donald,1813,NNS
country,1764,NN
good,1572,JJ
time,1552,NN
big,1548,JJ
make,1485,NN
up,1459,RP
obama,1444,NN
many,1332,JJ
much,1152,JJ
vote,1112,NN
news,1083,NN
best,1075,JJS
today,1070,NN
love,1023,NN
job,930,NN
dont,908,JJ
years,906,NNS
last,871,JJ
true,855,JJ
china,846,NN
bad,831,JJ
hillary,823,JJ
show,818,NN
win,816,JJ
deal,812,NN
way,800,NN
american,795,JJ
work,794,NN
trump2016,757,JJ
day,756,NN
fake,746,JJ
world,746,NN
border,744,NN
first,731,JJ
tonight,729,NN
other,720,JJ
media,710,NNS
jobs,705,NNS
nothing,687,NN
which,687,WDT
foxnews,684,NNS
mr,645,NN
night,640,NN
barackobama,632,NN
most,630,RBS
house,621,NN
cant,618,NN
united,616,JJ
interview,614,NN
states,614,NNS
money,599,NN
down,595,RP
take,579,NN
please,577,NN
year,576,NN
hard,570,JJ
real,567,JJ
man,563,NN
election,556,NN
im,554,NN
–,552,NNP
state,550,NN
cont,550,NNS
nice,541,JJ
national,534,JJ
business,528,NN
total,525,JJ
don’t,523,NN
golf,514,NN
cnn,512,NN
republican,503,JJ
apprentice,493,JJ
hope,492,NN
happy,491,JJ
campaign,486,NN
next,483,JJ
obamacare,482,NN
strong,480,JJ
record,479,NN
makeamericagreatagain,479,NN
stop,477,NN
congratulations,476,NNS
military,472,JJ
republicans,469,NNS
long,463,JJ
things,462,NNS
trade,462,NN
usa,455,JJ
needs,453,NNS
economy,445,NN
poll,444,NN
tomorrow,438,NN
celebapprentice,436,NN
course,432,NN
history,420,NN
everyone,420,NN
apprenticenbc,417,NN
party,415,NN
tax,406,NN
help,405,NN
youre,405,NN
success,401,NN
dems,394,JJ
security,394,NN
wonderful,393,JJ
debate,386,NN
wow,386,NNS
book,385,NN
beautiful,383,JJ
crime,377,NN
such,377,JJ
york,375,NN
pm,371,JJ
honor,370,JJ
smart,367,JJ
fantastic,363,JJ
north,362,JJ
gop,360,NN
others,357,NNS
wrong,357,JJ
enjoy,355,JJ
white,354,JJ
russia,353,NN
office,352,NN
guy,351,NN
u,349,NN
agree,347,JJ
thing,346,NN
iran,346,NN
morning,346,NN
congress,339,JJ
call,333,JJ
live,331,JJ
story,329,NN
speech,328,NN
bill,324,NN
illegal,323,JJ
high,322,JJ
ratings,322,NNS
witch,320,NN
mexico,319,NN
it’s,317,JJ
tough,315,JJ
terrible,314,NN
nbc,314,NN
dollars,313,NNS
yesterday,312,NN
hunt,309,NN
numbers,309,NNS
meeting,307,NN
john,307,NN
leader,304,NN
mittromney,303,NN
person,303,NN
life,302,NN
sure,301,JJ
end,299,NN
florida,299,JJ
presidential,299,JJ
join,297,NN
times,296,NNS
doesnt,296,JJ
same,296,JJ
talk,295,NN
government,295,NN
top,294,JJ
report,294,NN
democrat,286,JJ
fact,285,NN
own,285,JJ
celebrity,284,NN
sad,282,JJ
collusion,282,NN
season,280,NN
family,279,NN
massive,278,JJ
week,278,NN
senate,277,JJ
hotel,277,NN
important,275,JJ
administration,273,NN
hes,273,NNS
countries,269,NNS
anything,267,NN
leadership,267,NN
discussing,266,NN
proud,262,JJ
something,262,NN
major,262,JJ
greatest,262,JJS
lot,261,NN
fight,260,NN
tower,260,NN
fast,258,JJ
korea,256,NNS
governor,256,NN
everything,254,NN
political,251,JJ
iowa,251,NN
bring,249,JJ
law,249,NN
thats,247,NNS
entrepreneurs,244,NNS
care,244,NN
cruz,242,NN
fox,242,NN
stay,242,NN
luck,240,NN
w,240,NN
disaster,239,NN
home,239,NN
isis,238,NN
taxes,237,NNS
bush,237,JJ
order,237,NN
anyone,236,NN
carolina,235,NN
truth,234,NN
problem,234,NN
energy,233,NN
nation,232,NN
hit,230,NN
dc,230,NN
leaders,228,NNS
tremendous,225,JJ
successful,225,JJ
tell,224,NN
little,224,JJ
looks,224,NNS
south,223,JJ
knows,222,NNS
ready,222,JJ
attack,221,JJ
special,220,JJ
donaldtrump,219,NN
someone,218,NN
words,217,NNS
mueller,216,JJ
incredible,215,JJ
candidate,215,NN
women,214,NNS
future,212,JJ
justice,211,NN
team,211,NN
full,211,JJ
macys,211,NN
ill,210,NN
old,208,JJ
art,207,NN
fix,206,JJ
can’t,206,NN
scotland,205,NN
enough,203,JJ
birthday,203,NN
friend,202,JJ
oil,202,NN
impeachment,201,JJ
game,201,NN
market,199,NN
borders,199,NNS
millions,198,NNS
endorsement,197,JJ
corrupt,197,JJ
didn’t,197,NN
city,197,NN
general,195,JJ
awesome,195,JJ
ivankatrump,195,NN
point,195,NN
interesting,194,JJ
fired,194,JJ
case,193,NN
weak,193,JJ
court,192,NN
economic,191,JJ
low,191,JJ
biggest,190,JJS
build,189,NN
maga,188,NN
vets,188,NNS
worse,187,JJR
press,187,NN
lead,187,NN
didnt,186,NN
post,186,NN
dishonest,185,NN
phony,185,NN
ohio,185,NN
close,185,JJ
seanhannity,185,NN
war,182,NN
cannot,181,JJ
debt,181,NN
jeb,181,NN
days,180,NNS
lets,180,NNS
protect,179,JJ
play,178,NN
victory,176,NN
iraq,175,NNS
reason,174,NN
part,174,NN
crazy,173,JJ
unemployment,173,NN
doral,173,JJ
complete,173,JJ
champion,172,NN
tariffs,172,NNS
power,171,NN
deals,170,NNS
companies,170,NNS
statement,169,NN
cuts,168,NNS
stupid,168,JJ
sign,167,NN
healthcare,167,NN
club,166,JJ
public,166,JJ
doesn’t,165,JJ
celebrityapprentice,165,JJ
second,165,JJ
syria,164,NNS
safe,164,JJ
plan,163,NN
politics,163,NNS
twitter,163,JJ
beat,163,NN
voting,163,NN
speak,162,JJ
nytimes,162,NNS
free,161,JJ
number,161,NN
stock,160,NN
congrats,160,NNS
hate,159,NN
wind,159,NN
cut,159,NN
ive,159,JJ
chance,159,NN
problems,159,NNS
fair,157,JJ
radical,156,JJ
star,156,NN
barackobamas,156,NN
wish,156,JJ
rubio,155,NN
foreign,154,JJ
act,154,NN
southern,153,JJ
politicians,153,NNS
federal,153,JJ
nyc,153,JJ
buy,153,NN
sunday,151,JJ
highest,151,JJS
service,151,NN
control,151,NN
winner,151,NN
event,151,NN
decision,150,NN
international,150,JJ
race,150,NN
fun,150,NN
texas,149,NN
ask,149,NN
pelosi,149,NN
video,149,NN
israel,148,NN
pennsylvania,148,NN
welcome,148,JJ
men,147,NNS
mark,146,NN
set,146,NN
system,145,NN
able,145,JJ
monday,144,JJ
lives,144,NNS
nobody,143,NN
prices,142,NNS
nuclear,142,JJ
that’s,142,NN
billions,141,NNS
j,140,NN
hampshire,140,NN
oreillyfactor,140,NN
trumps,140,NNS
try,139,NN
favorite,139,NN
easy,138,JJ
virginia,137,JJ
ties,137,NNS
laws,136,NNS
families,136,NNS
large,136,JJ
global,135,JJ
possible,134,JJ
wonder,133,JJ
russian,133,JJ
thousands,133,NNS
policy,132,NN
votes,132,NNS
primary,132,JJ
false,132,JJ
choice,132,NN
visit,132,NN
class,132,NN
small,132,JJ
results,131,NNS
killed,131,JJ
thoughts,131,NNS
horrible,131,JJ
veterans,131,NNS
california,130,NN
angry,130,JJ
mike,130,JJ
fan,130,NN
rate,129,NN
losers,129,NNS
action,129,NN
interest,128,NN
weekend,128,NN
information,127,NN
west,127,NN
lose,127,NN
stories,127,NNS
ridiculous,126,JJ
schiff,126,NN
early,125,JJ
vegas,125,NN
haters,125,NNS
i’m,125,JJ
minister,125,NN
greta,125,NN
level,124,NN
amendment,124,NN
dumb,124,NN
james,124,NNS
young,123,JJ
potus,122,JJ
bernie,121,NNS
loser,121,JJR
prime,121,JJ
saw,121,NN
word,120,NN
david,120,NN
id,120,NN
ny,120,JJ
supporters,120,NNS
enforcement,120,JJ
heard,119,NN
secretary,119,NN
least,118,JJS
tuesday,118,JJ
wife,118,NN
trumpdoral,118,JJ
months,118,NNS
release,117,NN
november,117,JJ
cost,117,NN
unfair,117,JJ
fire,116,NN
conference,116,NN
few,116,JJ
dangerous,115,JJ
investigation,115,NN
bless,115,NN
farmers,114,NNS
pres,114,NNS
saturday,114,NN
whole,113,JJ
former,113,JJ
tune,113,NN
matter,113,NN
nations,112,NNS
entire,112,JJ
waste,112,NN
supreme,112,NN
re,112,NN
air,112,NN
r,111,NN
michael,111,JJ
dead,111,JJ
romney,111,NN
voters,111,NNS
approval,110,NN
canada,110,NN
allow,110,JJ
budget,110,NN
drug,110,NN
question,110,NN
erictrump,109,JJ
growth,109,NN
questions,109,NNS
idea,109,NN
credit,109,NN
term,109,NN
huge,108,JJ
send,108,NN
touch,107,NN
charity,107,NN
bigger,107,JJR
sorry,107,NN
sense,107,NN
middle,107,JJ
gas,106,NN
exciting,106,JJ
everybody,106,NN
terrific,106,JJ
late,106,JJ
candidates,106,NNS
he’s,105,JJ
won’t,105,JJ
lots,105,NNS
higher,105,JJR
convention,104,NN
positive,104,JJ
chinese,104,JJ
destroy,103,JJ
television,103,NN
fraud,103,NN
workers,103,NNS
mitt,103,JJ
safety,103,NN
tweets,103,NNS
negative,103,JJ
children,102,NNS
congressman,102,JJ
police,102,NNS
tweet,102,NN
intelligence,101,NN
march,101,NN
answer,101,NN
final,101,JJ
worth,101,NN
emails,100,NNS
center,100,NN
etc,100,NN
freedom,100,NN
reading,100,NN
records,100,NNS
elected,99,JJ
weeks,99,NNS
ukraine,99,JJ
blue,99,NN
glad,99,NN
ebola,98,NN
defense,98,NN
pass,98,NN
kind,98,NN
dollar,97,NN
presidency,97,NN
obama’s,97,NN
obstruction,97,NN
fed,96,JJ
article,96,NN
side,96,NN
son,96,NN
don,96,NN
stronger,96,NN
todays,95,NNS
potential,95,JJ
increase,95,NN
policies,95,NNS
minutes,94,NNS
trumpchicago,94,JJ
nfl,94,NN
drugs,94,NNS
raise,94,NN
caught,94,NN
paul,93,NN
brand,93,NN
thx,93,NN
members,93,NNS
perfect,93,JJ
process,93,NN
magazine,92,NN
yankees,92,NNS
pathetic,92,JJ
failure,92,NN
school,92,NN
george,92,NN
dnc,92,JJ
price,92,NN
advice,92,NN
tickets,92,NNS
facts,92,NNS
gretawire,92,NN
christmas,92,NN
hours,92,NNS
death,91,NN
adam,91,NN
donaldjtrumpjr,90,NN
lowest,90,JJS
mayor,90,NN
company,89,NN
enemy,89,NN
rest,89,NN
arizona,89,JJ
talent,89,NN
talks,89,NNS
reform,88,NN
beach,88,NN
episode,88,NN
dinner,88,NN
incompetent,87,JJ
poor,87,JJ
list,87,NN
billmaher,87,JJ
repeal,86,NN
line,86,NN
steve,86,NN
woman,86,NN
lawyer,86,NN
turnberry,86,JJ
street,86,NN
historic,85,JJ
committee,85,NN
lower,85,JJR
youve,85,JJ
agenda,85,NN
marco,85,NN
universe,85,JJ
staff,85,NN
hearing,85,NN
friday,85,NN
eric,85,JJ
links,85,NNS
progress,84,NN
college,84,NN
page,84,NN
legal,84,JJ
brave,84,NN
letterman,84,NN
prayers,84,NNS
due,83,JJ
points,83,NNS
ads,83,NNS
hits,83,NNS
confidence,83,NN
serious,82,JJ
doubt,82,NN
plans,82,NNS
strength,82,NN
situation,82,NN
powerful,82,JJ
wh,81,NN
department,81,NN
vp,81,NN
judge,81,NN
americas,81,NN
rating,81,NN
super,81,JJ
movement,81,NN
dopey,81,NN
reality,81,NN
announcement,81,NN
rich,81,JJ
university,81,NN
dream,81,NN
message,81,NN
east,81,JJ
jebbush,80,NN
food,80,NN
pageant,80,JJ
view,80,NN
opportunity,80,NN
short,80,JJ
excellent,80,NN
group,80,NN
japan,80,NN
relationship,80,NN
politician,80,JJ
nevada,80,NN
different,79,JJ
calls,79,NNS
ag,79,JJ
hurricane,79,NN
experience,79,NN
afraid,79,JJ
room,79,NN
trumpforpresident,78,NN
host,78,NN
ice,78,NN
un,78,JJ
bei,78,JJ
meetings,78,NNS
hall,78,NN
issue,78,NN
heart,78,NN
views,78,NNS
brilliant,78,JJ
crisis,77,NN
daca,77,NN
disgrace,77,NN
let’s,77,NN
businessman,77,JJ
nato,77,JJ
mean,76,NN
month,76,NN
private,76,JJ
scott,76,NN
tom,76,NN
financial,76,JJ
criminal,76,JJ
spend,76,NN
honest,76,JJS
breitbartnews,76,NN
midas,76,NN
jeff,75,NN
hero,75,NN
credibility,75,NN
sanders,75,NNS
comments,75,NNS
website,75,JJ
oh,75,NNS
attorney,75,NN
outside,74,JJ
imagine,74,NN
inspiration,74,NN
mention,74,NN
phone,74,NN
demand,74,NN
ideas,74,NNS
spectacular,74,JJ
passion,74,NN
troops,73,NNS
lied,73,JJ
evidence,73,NN
cover,73,NN
father,73,NN
funny,73,JJ
luxury,73,NN
france,73,NN
trust,73,JJ
books,73,NNS
ad,73,NN
hand,72,NN
racist,72,NN
pressure,72,NN
fine,72,JJ
monster,72,NN
works,72,NNS
decades,72,NNS
common,72,JJ
sources,71,NNS
player,71,NN
career,71,NN
appreciate,71,JJ
negotiation,71,NN
statements,71,NNS
looked,71,JJ
georgia,70,NNS
favor,70,NN
illegals,70,NNS
omarosa,70,RP
steel,70,NN
sick,70,JJ
victims,70,NNS
red,70,JJ
corruption,70,NN
allstar,69,NN
amnesty,69,JJ
third,69,JJ
missuniverse,69,NN
director,69,NN
liberal,69,JJ
immigrants,69,NNS
terrorist,69,JJ
shirts,69,NNS
clean,69,JJ
isn’t,69,JJ
turkey,69,NN
careful,68,JJ
offers,68,NNS
charge,68,NN
schumer,68,NN
dummy,68,NN
majority,68,NN
billionaire,68,NN
you’re,68,NN
estate,68,NN
palm,68,NN
local,68,JJ
thursday,68,NN
benghazi,68,JJ
sleepy,68,NN
summit,68,NN
dossier,68,NN
sell,68,NN
resort,67,NN
rosie,67,NN
courage,67,NN
shot,67,JJ
peace,67,JJ
county,67,NN
picture,67,NN
address,67,NN
courses,67,NNS
tuned,67,JJ
biden,67,NN
heroes,67,NNS
whatever,67,WDT
union,67,NN
gun,67,NN
response,67,NN
june,66,JJ
chairman,66,NN
health,66,NN
conservative,66,JJ
setting,66,NN
crowds,66,NN
ass,66,NN
chief,66,JJ
